timestamp,modulo,existe,filas,pct_fechas_recientes,pct_nulos,score_datos,alerta,autocorregido,score_nlp,score_rss,score_global,solapamiento_nlp,fuentes_activas_6h,fuentes_total,alerta_nlp,alerta_rss
2026-03-09 16:02:57,narratives_summary,True,5,1.0,0.0,66,Pocas filas (5),False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,emotions_summary,True,6,1.0,0.0,66,Pocas filas (6),False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,polarization_summary,True,27,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,actors_network,True,30,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,propagation_summary,True,64,1.0,0.0,100,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,trends_summary,True,30,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,government_coverage,True,24,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,mass_media_coverage,True,10,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,news_summary,True,8190,1.0,0.0,100,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,sentiment_summary,True,3,1.0,0.0,66,Pocas filas (3),False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,personas_summary,True,10,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,diversity_index,True,24,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,geo_summary,True,19,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,disinfo_alerts,True,1,1.0,0.0,66,Pocas filas (1),False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,coordination_alerts,True,44,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,keywords_emerging,True,15,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
2026-03-09 16:02:57,viral_topics,True,15,1.0,0.0,83,,False,100,100,90,0.8,364,3192,,
