block,total,pro,anti,neutral,avg_score,dominant,pro_pct,anti_pct,last_update,cycle
UE,14245,1227,1,13017,0.086,pro,8.6,0.0,2026-03-15 09:43,2026-03-15 09:43
EEUU,5676,0,4095,1581,-0.721,anti,0.0,72.1,2026-03-15 09:43,2026-03-15 09:43
China,281,7,0,274,0.025,pro,2.5,0.0,2026-03-15 09:43,2026-03-15 09:43
OTAN,262,253,6,3,0.943,pro,96.6,2.3,2026-03-15 09:43,2026-03-15 09:43
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 09:43,2026-03-15 09:43
Inmigración,122,20,20,82,0.0,neutral,16.4,16.4,2026-03-15 09:43,2026-03-15 09:43
MERCOSUR,110,29,0,81,0.264,pro,26.4,0.0,2026-03-15 09:43,2026-03-15 09:43
UE,14275,1227,1,13047,0.086,pro,8.6,0.0,2026-03-15 10:05,2026-03-15 10:05
EEUU,5683,0,4100,1583,-0.721,anti,0.0,72.1,2026-03-15 10:05,2026-03-15 10:05
China,286,7,0,279,0.024,pro,2.4,0.0,2026-03-15 10:05,2026-03-15 10:05
OTAN,262,253,6,3,0.943,pro,96.6,2.3,2026-03-15 10:05,2026-03-15 10:05
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 10:05,2026-03-15 10:05
Inmigración,122,20,20,82,0.0,neutral,16.4,16.4,2026-03-15 10:05,2026-03-15 10:05
MERCOSUR,110,29,0,81,0.264,pro,26.4,0.0,2026-03-15 10:05,2026-03-15 10:05
UE,14314,1236,1,13077,0.086,pro,8.6,0.0,2026-03-15 10:35,2026-03-15 10:35
EEUU,5695,0,4108,1587,-0.721,anti,0.0,72.1,2026-03-15 10:35,2026-03-15 10:35
China,288,7,0,281,0.024,pro,2.4,0.0,2026-03-15 10:35,2026-03-15 10:35
OTAN,262,253,6,3,0.943,pro,96.6,2.3,2026-03-15 10:35,2026-03-15 10:35
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 10:35,2026-03-15 10:35
Inmigración,122,20,20,82,0.0,neutral,16.4,16.4,2026-03-15 10:35,2026-03-15 10:35
MERCOSUR,110,29,0,81,0.264,pro,26.4,0.0,2026-03-15 10:35,2026-03-15 10:35
UE,14337,1237,1,13099,0.086,pro,8.6,0.0,2026-03-15 11:05,2026-03-15 11:05
EEUU,5711,0,4120,1591,-0.721,anti,0.0,72.1,2026-03-15 11:05,2026-03-15 11:05
China,291,7,0,284,0.024,pro,2.4,0.0,2026-03-15 11:05,2026-03-15 11:05
OTAN,263,254,6,3,0.943,pro,96.6,2.3,2026-03-15 11:05,2026-03-15 11:05
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 11:05,2026-03-15 11:05
Inmigración,122,20,20,82,0.0,neutral,16.4,16.4,2026-03-15 11:05,2026-03-15 11:05
MERCOSUR,111,29,0,82,0.261,pro,26.1,0.0,2026-03-15 11:05,2026-03-15 11:05
UE,14374,1238,1,13135,0.086,pro,8.6,0.0,2026-03-15 11:35,2026-03-15 11:35
EEUU,5724,0,4133,1591,-0.722,anti,0.0,72.2,2026-03-15 11:35,2026-03-15 11:35
China,292,7,0,285,0.024,pro,2.4,0.0,2026-03-15 11:35,2026-03-15 11:35
OTAN,263,254,6,3,0.943,pro,96.6,2.3,2026-03-15 11:35,2026-03-15 11:35
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 11:35,2026-03-15 11:35
Inmigración,123,21,20,82,0.008,pro,17.1,16.3,2026-03-15 11:35,2026-03-15 11:35
MERCOSUR,111,29,0,82,0.261,pro,26.1,0.0,2026-03-15 11:35,2026-03-15 11:35
UE,14407,1240,1,13166,0.086,pro,8.6,0.0,2026-03-15 12:06,2026-03-15 12:06
EEUU,5737,0,4144,1593,-0.722,anti,0.0,72.2,2026-03-15 12:06,2026-03-15 12:06
China,294,7,0,287,0.024,pro,2.4,0.0,2026-03-15 12:06,2026-03-15 12:06
OTAN,263,254,6,3,0.943,pro,96.6,2.3,2026-03-15 12:06,2026-03-15 12:06
Rusia,196,6,8,182,-0.01,anti,3.1,4.1,2026-03-15 12:06,2026-03-15 12:06
Inmigración,123,21,20,82,0.008,pro,17.1,16.3,2026-03-15 12:06,2026-03-15 12:06
MERCOSUR,111,29,0,82,0.261,pro,26.1,0.0,2026-03-15 12:06,2026-03-15 12:06
