window,representative,sources,n_sources,n_titles,avg_similarity,coord_score,all_titles,detected_at
2026-04-06 16:00:00+00:00,"Trump, sobre Irán: ""Todo el país puede ser tomado en una noche, y esa noche podría ser mañana por la noche"" - elDiario.es","eldiario, france24_es, google_news_es, google_news_internacional",4,4,0.801,80,"Trump, sobre Irán: ""Todo el país puede ser tomado en una noche, y esa noche podría ser mañana por la noche"" | Trump, sobre Irán: ""Todo el país puede ser tomado en una noche, y esa noche podría ser mañana por la noche"" - elDiario.es | Trump, sobre Irán: ""Todo el país puede ser tomado en una noche, y esa noche podría ser mañana por la noche"" - eldiario.es | 🔴 En vivo l ""Todo el país puede acabarse en una noche y esa noche puede ser mañana"": Trump a Irán",2026-04-07 06:07
2026-04-05 14:00:00+00:00,Trump admite haber enviado armas a los manifestantes iraníes durante las protestas de principios de año,"20minutos, europapress, google_news_es, google_news_internacional",4,4,0.797,79,Trump admite haber enviado armas a los manifestantes iraníes durante las protestas de principios de año | Trump admite haber enviado armas a los manifestantes iraníes durante las protestas de principios de año - 20Minutos | Trump admite que envió armas a los manifestantes iraníes durante las protestas de principios de año - Europa Press | Trump admite que envió armas a los manifestantes iraníes durante las protestas de principios de año,2026-04-07 06:07
2026-04-06 10:00:00+00:00,Detenido un hombre en Vizcaya tras apuñalar a su pareja delante de sus hijos,"20minutos, elmundo, heraldo_aragon, huffington_es, lavanguardia, levante_emv",6,8,0.521,78,"Detenido un hombre en Vizcaya tras apuñalar a su pareja delante de sus hijos | Detenido un hombre en Berriz (Bizkaia) tras apuñalar a su pareja delante de sus hijos | Detenido en Berriz (Vizcaya) tras apuñalar a su pareja, herida de gravedad | Un hombre detenido en Berriz (Vizcaya) tras apuñalar a su pareja | Detienen a un hombre en Berriz (Bizkaia) tras apuñalar de gravedad a su pareja delante de sus hijos",2026-04-07 06:07
2026-04-04 08:00:00+00:00,"Feijóo llamó a Abascal para cerrar pactos tras las elecciones de Castilla y León: ""No podemos defraudar a la gente""","elespanol, elmundo_espana, google_news_es, google_news_politica, levante_emv",5,8,0.605,75,"Feijóo llamó a Abascal para cerrar pactos tras las elecciones de Castilla y León: ""No podemos defraudar a la gente"" | Feijóo llamó a Abascal para cerrar pactos tras las elecciones de Castilla y León: ""No podemos defraudar a la gente"" - El Español | Feijóo llamó a Abascal para instarle a cerrar los pactos tras las elecciones de CyL: ""No podemos defraudar a la gente"" | Feijóo revela una conversación con Abascal tras las elecciones de Castilla y León: ""No podemos defraudar a la gente"" | Feijóo habló con Abascal tras las elecciones de Castilla y León: ""No podemos defraudar a la gente""",2026-04-07 06:07
2026-04-05 16:00:00+00:00,"Al menos siete heridos, entre ellos un menor, tras el derrumbe de un techo en un hotel de Benidorm","20minutos, elespanol, lavanguardia, levante_emv, okdiario",5,5,0.579,72,"Siete heridos en Benidorm tras el derrumbe del techo de un hotel | Al menos siete heridos, entre ellos un menor, tras el derrumbe de un techo en un hotel de Benidorm | Siete heridos al desprenderse el techo de un hotel en Benidorm | Siete heridos, entre ellos un menor, tras el derrumbe parcial del techo de un hotel en Benidorm | El derrumbe del techo de un hotel de Benidorm causa siete heridos, entre ellos un niño de 8 años",2026-04-07 06:07
2026-04-04 14:00:00+00:00,"Trump recuerda a Irán que tiene 48 horas para cerrar un acuerdo o ""desatará el infierno""","google_news_es, google_news_internacional, levante_emv",3,3,0.946,70,"Trump recuerda a Irán que tiene 48 horas para cerrar un acuerdo o «desatará el infierno» - EFE Noticias | Trump recuerda a Irán que tiene 48 horas para cerrar un acuerdo o ""desatará el infierno"" | Trump recuerda a Irán que tiene 48 horas para cerrar un acuerdo o ""desatará el infierno"" - Diari de Tarragona",2026-04-07 06:07
2026-04-05 08:00:00+00:00,Muere el periodista Diego Carcedo a los 86 años,"elcorreo, elespanol, europapress, google_news_es, levante_emv",5,6,0.554,69,"Muere a los 86 años el periodista Diego Carcedo, exdirector de RNE y de informativos de TVE | Muere a los 86 años Diego Carcedo, un clásico del periodismo | Muere a los 86 años el periodista Diego Carcedo, exdirector de los Servicios Informativos de TVE y de RNE | Muere en Madrid a los 86 años el periodista Diego Carcedo - EL PAÍS | Muere el periodista Diego Carcedo a los 86 años - elDiario.es",2026-04-07 06:07
2026-04-04 06:00:00+00:00,EEUU busca a su piloto abatido tras las líneas enemigas de Irán,"elmundo, elmundo_internacional, google_news_internacional",3,3,0.917,68,EEUU busca a su piloto abatido tras las líneas enemigas de Irán | EEUU busca a su piloto abatido tras las líneas enemigas de Irán - El Mundo | EEUU busca a su piloto abatido tras las líneas enemigas,2026-04-07 06:07
2026-04-04 10:00:00+00:00,"Detienen al líder mafioso Roberto Mazzarella, uno de los fugitivos más peligrosos de Italia - El Debate","elmundo, google_news_internacional, heraldo_aragon, levante_emv",4,4,0.68,67,"Detenido el capo mafioso Roberto Mazzarella, uno de los fugitivos más peligrosos de Italia | Detienen al líder mafioso Roberto Mazzarella, uno de los fugitivos más peligrosos de Italia - El Debate | Detenido el jefe de la Camorra napolitana, Roberto Mazzarella, uno de los fugitivos más peligrosos de Italia | Detienen al capo de la mafia Roberto Mazzarella, uno de los fugitivos más peligrosos de Italia, en una villa de lujo de la costa amalfitana",2026-04-07 06:07
2026-04-05 10:00:00+00:00,Esteban apela ya a las urnas: «Nos jugamos si seguimos haciendo país o dejamos que otros lo deshagan» - El Correo,"elcorreo, google_news_es, sur",3,4,0.888,66,El PNV apela ya a las urnas en Euskadi: «Nos jugamos si seguimos haciendo país o dejamos que otros lo deshagan» | Esteban apela ya a las urnas: «Nos jugamos si seguimos haciendo país o dejamos que otros lo deshagan» | Esteban apela ya a las urnas: «Nos jugamos si seguimos haciendo país o dejamos que otros lo deshagan» - El Correo | Esteban apela ya a las urnas: «Nos jugamos si seguimos haciendo país o dejamos que otros lo deshagan - El Correo,2026-04-07 06:07
