news_title,news_source,news_date,news_link,bulo_title,bulo_source,bulo_link,similarity,risk_score,detected_at
El Guggenheim disminuye un 3% sus visitantes en Semana Santa,elcorreo,2026-04-07 11:56:52+00:00,https://www.elcorreo.com/culturas/arte/guggenheim-disminuye-visitantes-semana-santa-20260407135644-nt.html,"No, Pedro Sánchez no ha tuiteado que ""la Semana Santa pasará a llamarse Semana Inclusiva Primaveral",maldita_bulos,https://maldita.es/malditobulo/20260401/no-pedro-sanchez-no-ha-tuiteado-que-la-semana-santa-pasara-a-llamarse-semana-inclusiva-primaveral/,0.684,49,2026-04-09 05:05
Artemis II: las imágenes de una misión histórica a la cara oculta de la Luna,expansion,2026-04-07 10:16:06+00:00,https://www.expansion.com/directivos/estilo-vida/salud/album/2026/04/07/69d4d430468aeb017e8b4595.html,"No son imágenes en color de la cara oculta de la luna tomadas por la Artemis II, es una interpretación de la composición de la superficie lunar",efe_verifica,https://verifica.efe.com/color-cara-oculta-luna-artemis-falso/,0.682,49,2026-04-09 05:05
La NASA publica la primera imagen de la Tierra desde la cara oculta de la Luna,lavanguardia,2026-04-07 13:31:44+00:00,https://www.lavanguardia.com/ciencia/20260407/11507721/artemis-2-cara-oculta-luna-experiencia-humana-extraordinaria.html,"No, esta no es la primera vez en la historia que la NASA publica una imagen de la cara oculta de la Luna",maldita,https://maldita.es/desinfo/20260407/la-nasa-publica-una-foto-de-la-cara-oculta-de-la-luna-por-primera-vez-en-la-historia/,0.641,37,2026-04-09 05:05
Las increíbles imágenes de la Tierra y la cara oculta de la Luna que deja la misión Artemis II,okdiario,2026-04-07 15:46:09+00:00,https://okdiario.com/ciencia/increibles-imagenes-tierra-cara-oculta-luna-que-deja-mision-artemis-ii-16555340,"No son imágenes en color de la cara oculta de la luna tomadas por la Artemis II, es una interpretación de la composición de la superficie lunar",efe_verifica,https://verifica.efe.com/color-cara-oculta-luna-artemis-falso/,0.634,35,2026-04-09 05:05
La cara oculta de la luna… y de la NASA,20minutos,2026-04-08 03:00:00+00:00,https://www.20minutos.es/lainformacion/opinion/cara-oculta-luna-nasa_6955237_3.html,"No, esta no es la primera vez en la historia que la NASA publica una imagen de la cara oculta de la Luna",maldita,https://maldita.es/desinfo/20260407/la-nasa-publica-una-foto-de-la-cara-oculta-de-la-luna-por-primera-vez-en-la-historia/,0.621,31,2026-04-09 05:05
La cara oculta de la Luna… y de la NASA,20minutos,2026-04-08 03:00:00+00:00,https://www.20minutos.es/lainformacion/opinion/cara-oculta-luna-nasa_6955237_3.html,"No, esta no es la primera vez en la historia que la NASA publica una imagen de la cara oculta de la Luna",maldita,https://maldita.es/desinfo/20260407/la-nasa-publica-una-foto-de-la-cara-oculta-de-la-luna-por-primera-vez-en-la-historia/,0.621,31,2026-04-09 05:05
"Jeremy Hansen, astronauta del Artemis II, sobre la cara oculta de la Luna: ""Se aprecian pequeñas manchas de mares y cráteres profundos, pero están prácticamente ausentes""",el_confidencial_tech,2026-04-07 09:54:00+00:00,https://www.elconfidencial.com/tecnologia/ciencia/2026-04-07/jeremy-hansen-artemis-ii-cara-oculta-luna_4333492/,"No son imágenes en color de la cara oculta de la luna tomadas por la Artemis II, es una interpretación de la composición de la superficie lunar",efe_verifica,https://verifica.efe.com/color-cara-oculta-luna-artemis-falso/,0.597,24,2026-04-09 05:05
"Señoras y señoras, con María Guerra y Mariola Cubells, llega al ciclo Primavera en la Fundación CajaCanarias - Fundación CajaCanarias",google_news_es,2026-04-08 14:00:40+00:00,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOYmVZRU1pX1ZMeGpaN0g5c0dqRkZuWGhDbXBlSlBlZGJwcTA3Y0hOY3d1ejBWdHlvdjlvQlZ6dk4xRjBseExUZjRFaWJXYkJHd1Q4UTFnRllYcEh0clJCTFBNTWhCb0hQcEVkcVhHcEZpT1ZvREE1bXRZVW9JRUs4V21MR3JsZTloYlV5VVo4Q3QwV0IycXN1ZmNhUDdjc0tzdUl2aExIOXBMalZGdXRNRkZGM1oxVHZCemx3QXZhV3dSc1pJTGFQUmNHVEJLQTdDRWZZQy02VURHSVZUZ2c?oc=5,La campaña #LosProdigiososDeEcovidrio de la Fundación Prodis: finalizó en 2019 y Cáritas no ha colaborado nunca con la fundación,maldita_bulos,https://maldita.es/malditobulo/20260317/si-la-campana-de-la-fundacion-prodis-con-la-cancion-de-antonio-flores-llega-a-un-millon-de-visualizaciones-van-a-donar-6000-euros-a-la-fundacion/,0.589,22,2026-04-09 05:05
Donald Trump habló con los astronautas de la misión Artemis II y los felicitó por alcanzar el lado oscuro de la Luna - La Nación,google_news_es,2026-04-07 06:57:00+00:00,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPdzV4R0czX3NiZnN6aWcyQm1FLTlYLWJsZ0lXMkMyTkwwci0xRXdRRlY4OFpMNUhhaWtSaUZCcVZZMGNqd2VLSkVfZE5XOGZTXzh0R2FsY3o3T1RmR1V2Uzl2dlVYVDExZE1McG9tYTBwd1JpTzNqWk40RnBhT0xRSDNSSVgtUHpXWHdCLTI3cXNtZWhlWXRjNTlEQ0NIY1ZXSUtQQWF5b3pkR0tsQ3NUVWcxZzQxbG5BQVMzdTlmR25yOUFrZEhWc3JpOUNvaWlYOW1uQTNlQVdIRVpZalc5ag?oc=5,La imagen de los astronautas de la misión Artemis II con arnés y frente a un croma es un montaje,newtral,https://www.newtral.es/foto-astronautas-artemis-ii/20260406/,0.578,19,2026-04-09 05:05
Nuevas imágenes de la cara oculta de la Luna captadas por la misión Artemis,levante_emv,2026-04-07 14:11:44+00:00,https://www.levante-emv.com/videos/sociedad/2026/04/07/nuevas-imagenes-cara-oculta-luna-128833959.html,"No son imágenes en color de la cara oculta de la luna tomadas por la Artemis II, es una interpretación de la composición de la superficie lunar",efe_verifica,https://verifica.efe.com/color-cara-oculta-luna-artemis-falso/,0.573,18,2026-04-09 05:05
